doc_id,class_id
0,9
1,5
2,14
3,3
4,3
5,12
6,9
7,6
8,10
9,3
10,0
11,16
12,16
13,6
14,6
15,1
16,6
17,9
18,12
19,14
20,5
21,5
22,0
23,6
24,14
25,9
26,11
27,2
28,4
29,16
30,6
31,6
32,1
33,6
34,9
35,2
36,5
37,10
38,2
39,6
40,14
41,10
42,6
43,6
44,13
45,3
46,6
47,9
48,2
49,2
50,1
51,16
52,5
53,5
54,10
55,2
56,3
57,15
58,5
59,5
60,12
61,9
62,2
63,13
64,9
65,6
66,5
67,13
68,14
69,11
70,6
71,13
72,9
73,13
74,4
75,13
76,3
77,2
78,9
79,14
80,15
81,1
82,2
83,0
84,9
85,4
86,16
87,6
88,2
89,3
90,6
91,12
92,13
93,14
94,1
95,9
96,4
97,5
98,2
99,14
100,5
101,2
102,9
103,1
104,15
105,13
106,14
107,9
108,5
109,4
110,2
111,10
112,2
113,6
114,13
115,3
116,6
117,6
118,10
119,5
120,1
121,11
122,5
123,6
124,6
125,3
126,5
127,11
128,2
129,6
130,14
131,12
132,4
133,1
134,3
135,13
136,3
137,4
138,13
139,12
140,2
141,11
142,6
143,0
144,3
145,0
146,2
147,9
148,13
149,6
150,9
151,6
152,5
153,12
154,2
155,2
156,15
157,15
158,16
159,1
160,13
161,10
162,0
163,13
164,15
165,5
166,16
167,3
168,2
169,15
170,1
171,3
172,12
173,13
174,13
175,6
176,5
177,6
178,11
179,2
180,16
181,12
182,10
183,9
184,13
185,3
186,6
187,10
188,13
189,10
190,6
191,6
192,9
193,6
194,5
195,5
196,6
197,9
198,13
199,9
200,9
201,11
202,12
203,5
204,5
205,2
206,6
207,13
208,15
209,2
210,1
211,2
212,0
213,14
214,3
215,1
216,3
217,12
218,11
219,2
220,2
221,5
222,12
223,2
224,3
225,0
226,12
227,16
228,2
229,11
230,0
231,10
232,13
233,12
234,9
235,5
236,15
237,0
238,4
239,3
240,5
241,14
242,14
243,3
244,5
245,14
246,10
247,13
248,13
249,2
250,16
251,6
252,4
253,16
254,9
255,12
256,4
257,5
258,0
259,6
260,2
261,1
262,16
263,16
264,14
265,3
266,11
267,1
268,10
269,15
270,12
271,9
272,2
273,6
274,10
275,2
276,3
277,9
278,1
279,12
280,2
281,12
282,2
283,3
284,13
285,14
286,0
287,14
288,15
289,0
290,11
291,3
292,14
293,11
294,3
295,0
296,2
297,9
298,11
299,3
300,3
301,6
302,0
303,9
304,11
305,9
306,2
307,13
308,14
309,3
310,2
311,9
312,6
313,14
314,13
315,9
316,3
317,1
318,12
319,11
320,1
321,16
322,9
323,6
324,12
325,12
326,13
327,10
328,9
329,9
330,14
331,1
332,13
333,2
334,9
335,0
336,0
337,11
338,4
339,9
340,5
341,12
342,6
343,10
344,12
345,14
346,6
347,5
348,13
349,3
350,14
351,13
352,9
353,10
354,6
355,12
356,15
357,9
358,6
359,6
360,2
361,3
362,3
363,14
364,6
365,1
366,11
367,13
368,5
369,11
370,10
371,4
372,6
373,12
374,5
375,11
376,15
377,12
378,0
379,1
380,4
381,6
382,9
383,3
384,5
385,5
386,5
387,5
388,5
389,2
390,13
391,3
392,5
393,14
394,2
395,9
396,3
397,0
398,1
399,11
400,2
401,10
402,1
403,2
404,4
405,9
406,0
407,6
408,6
409,1
410,5
411,10
412,12
413,6
414,11
415,9
416,5
417,13
418,3
419,5
420,1
421,14
422,12
423,1
424,5
425,10
426,6
427,6
428,16
429,9
430,9
431,4
432,6
433,16
434,12
435,1
436,1
437,9
438,15
439,5
440,4
441,9
442,12
443,11
444,6
445,12
446,2
447,9
448,0
449,14
450,2
451,6
452,6
453,2
454,3
455,2
456,14
457,1
458,1
459,15
460,13
461,4
462,15
463,6
464,9
465,9
466,6
467,13
468,6
469,6
470,13
471,5
472,9
473,3
474,6
475,6
476,6
477,14
478,5
479,2
480,6
481,10
482,9
483,13
484,15
485,6
486,3
487,12
488,13
489,2
490,15
491,12
492,9
493,6
494,11
495,14
496,15
497,9
498,6
499,2
500,6
501,9
502,10
503,1
504,12
505,14
506,1
507,2
508,15
509,10
510,5
511,3
512,12
513,5
514,13
515,5
516,13
517,10
518,5
519,14
520,1
521,2
522,9
523,5
524,15
525,12
526,9
527,10
528,14
529,12
530,15
531,5
532,13
533,0
534,16
535,14
536,5
537,11
538,12
539,4
540,12
541,0
542,1
543,2
544,9
545,6
546,2
547,16
548,13
549,12
550,5
551,6
552,5
553,14
554,9
555,16
556,5
557,9
558,3
559,13
560,10
561,13
562,10
563,4
564,12
565,1
566,2
567,6
568,6
569,9
570,9
571,4
572,0
573,3
574,13
575,16
576,5
577,5
578,3
579,3
580,12
581,1
582,14
583,9
584,5
585,3
586,6
587,11
588,9
589,15
590,9
591,1
592,10
593,6
594,10
595,14
596,3
597,4
598,11
599,12
600,15
601,12
602,1
603,1
604,14
605,1
606,2
607,16
608,10
609,14
610,13
611,16
612,11
613,2
614,12
615,14
616,2
617,9
618,5
619,9
620,6
621,6
622,9
623,5
624,14
625,0
626,3
627,5
628,11
629,5
630,6
631,16
632,12
633,9
634,1
635,14
636,13
637,5
638,5
639,5
640,2
641,6
642,10
643,9
644,9
645,4
646,13
647,0
648,12
649,5
650,12
651,12
652,12
653,10
654,5
655,4
656,9
657,12
658,9
659,3
660,5
661,6
662,14
663,2
664,10
665,6
666,3
667,13
668,6
669,4
670,6
671,2
672,14
673,2
674,2
675,12
676,10
677,9
678,3
679,10
680,6
681,9
682,0
683,16
684,2
685,9
686,13
687,1
688,9
689,5
690,13
691,1
692,0
693,2
694,13
695,10
696,4
697,6
698,0
699,16
700,3
701,5
702,9
703,1
704,1
705,2
706,12
707,5
708,5
709,14
710,3
711,14
712,6
713,12
714,9
715,13
716,0
717,14
718,9
719,3
720,12
721,16
722,5
723,5
724,13
725,14
726,16
727,4
728,1
729,4
730,1
731,5
732,2
733,9
734,11
735,1
736,1
737,3
738,15
739,4
740,10
741,15
742,6
743,12
744,11
745,2
746,2
747,10
748,12
749,6
750,14
751,9
752,12
753,11
754,6
755,12
756,15
757,12
758,15
759,11
760,14
761,2
762,13
763,1
764,5
765,5
766,0
767,2
768,6
769,15
770,2
771,6
772,9
773,3
774,2
775,10
776,2
777,9
778,9
779,1
780,3
781,0
782,6
783,9
784,3
785,5
786,16
787,4
788,9
789,2
790,1
791,1
792,12
793,13
794,10
795,6
796,3
797,11
798,9
799,6
800,4
801,1
802,9
803,13
804,13
805,9
806,13
807,2
808,12
809,5
810,6
811,12
812,9
813,14
814,6
815,9
816,5
817,2
818,9
819,2
820,13
821,3
822,2
823,12
824,9
825,0
826,5
827,3
828,15
829,6
830,2
831,11
832,13
833,3
834,9
835,4
836,10
837,11
838,6
839,15
840,1
841,15
842,14
843,0
844,13
845,6
846,6
847,9
848,4
849,15
850,6
851,9
852,2
853,1
854,16
855,4
856,6
857,6
858,6
859,11
860,13
861,13
862,9
863,10
864,5
865,1
866,4
867,1
868,13
869,12
870,3
871,10
872,5
873,12
874,12
875,1
876,3
877,9
878,15
879,5
880,10
881,6
882,0
883,1
884,16
885,10
886,6
887,0
888,10
889,9
890,6
891,12
892,9
893,15
894,6
895,5
896,11
897,6
898,13
899,4
900,1
901,12
902,2
903,2
904,14
905,2
906,9
907,1
908,12
909,11
910,6
911,13
912,1
913,10
914,9
915,14
916,13
917,6
918,5
919,9
920,1
921,3
922,16
923,5
924,13
925,16
926,6
